DELAY(in ms),RATE(in mbit),LOSS(in %),NUMBER OF CLIENT,THROUGHPUT(in MB/s)
1,20,2,5,8.26795448516872
5,20,2,5,8.116612661829965
10,20,2,5,7.946019598236444
20,20,2,5,7.846170367432288
30,20,2,5,7.724277486754239
40,20,2,5,7.5172204839987655
50,20,2,5,7.24921343883564
60,20,2,5,7.060689998919885
70,20,2,5,7.0650748062825
80,20,2,5,6.828669271104655
5,1,2,5,0.5344044658782369
5,4,2,5,2.015609230760768
5,9,2,5,3.8639098052301786
5,15,2,5,6.221360878931831
5,30,2,5,8.899365408141776
5,40,2,5,15.05870799254403
5,50,2,5,18.87100783397822
5,60,2,5,21.222062974603872
5,70,2,5,23.199945022250905
5,85,2,5,23.642391865589136
5,20,1,5,8.406421663486075
5,20,2,5,8.125420253669034
5,20,5,5,7.520950284568669
5,20,10,5,6.0357303697253695
5,20,15,5,2.182137004195313
5,20,20,5,2.604081892330058
5,20,25,5,1.9038543166090298
5,20,30,5,0.6674497042126327
5,20,40,5,0.20646045417023334
5,20,50,5,0.05426248772584552
